id,ingredients
148,Куриный бульон
148,Чеснок
148,Красный лук
148,Лимон
148,Петрушка
148,Оливковое масло
148,Красный базилик
148,Соль
148,Перец черный молотый
148,Красная фасоль
148,Консервированный тунец в собственном соку
148,Рукола
148,Яичная лапша
148,Коричневая чечевица
148,Сливочное масло
148,Сыр горгонзола
148,Филе баранины
148,Орегано
148,Молодой красный картофель
148,Белое сухое вино
148,Греческие маслины
148,Фланк-стейк
148,Бальзамический уксус
148,Цедра апельсина
148,Зеленый лук
148,Картофель
148,Филе минтая
149,Говядина
149,Картофель
149,Соленые огурцы
149,Лук репчатый
149,Чеснок
149,Пшеничная мука
149,Томатная паста
149,Соль
149,Растительное масло
149,Перец черный молотый
149,Лавровый лист
149,Черный перец горошком
149,Гвоздика
149,Мясной бульон
149,Тушенка
149,Вода
149,Морковь
149,Помидоры
149,Сливочное масло
149,Специи
153,Миндаль
153,Яйцо куриное
153,Лимон
153,Молоко
153,Апельсины
153,Сливочное масло
153,Пшеничная мука
153,Тростниковый сахар
153,Сода
153,Разрыхлитель
153,Патока
153,Тертый имбирь
153,Подсолнечное масло
153,Сахарная пудра
153,Сахар
153,Сливки 30%-ные
153,Белый ром
153,Сахарная пудра с ванилью
153,Ванильный сахар
153,Соль
156,Кабачки
156,Баклажаны
156,Картофель
156,Лук репчатый
156,Помидоры
156,Сладкий перец
156,Петрушка
156,Растительное масло
156,Перец черный молотый
156,Соль
156,Морковь
156,Сметана
156,Свинина
156,Сыр
156,Майонез
156,Укроп
156,Чеснок
156,Оливковое масло
156,Баранья корейка
156,Сливочное масло
156,Зелень
156,Приправы
156,Цукини
157,Баклажаны
157,Помидоры
157,Лук репчатый
157,Сладкий перец
157,Сметана
157,Соль
157,Перец черный молотый
157,Морковь
157,Петрушка
157,Растительное масло
157,Фарш
157,Картофель
157,Кабачки
157,Зелень
157,Куркума
157,Чеснок
157,Цукини
157,Рыба
157,Специи
161,Творог
161,Молоко
161,Картофельный крахмал
161,Яйцо куриное
161,Сахар
161,Ванильный сахар
161,Сливочное масло
161,Соль
161,Гречневая крупа
161,Сметана
161,Манная крупа
161,Урюк
161,Грецкие орехи
161,Лимон
161,Сода
161,Творог 9%
161,Светлый изюм без косточек
161,Разрыхлитель
161,Свежая клюква
162,Сливочное масло
162,Растительное масло
162,Манная крупа
162,Ваниль
162,Пшеничная мука
162,Сахарная пудра
162,Молоко
162,Мед
162,Бренди
162,Ванильный экстракт
162,Яйцо куриное
162,Соль
162,Крахмал
162,Ванильный сахар
164,Сливочное масло
164,Сахар
164,Яйцо куриное
164,Пшеничная мука
164,Горький шоколад
164,Разрыхлитель
164,Сливки 35%-ные
164,Соль
164,Ванилин
164,Сода
164,Какао-порошок
164,Ванильный экстракт
164,Свежесваренный кофе
164,Сметана
164,Патока
164,Пиво Guinness
164,Какао
164,Йогурт
164,Молотый шафран
164,Молоко
164,Арахисовая паста
165,Чернослив
165,Лук репчатый
165,Баранина
165,Петрушка
165,Имбирь
165,Карри
165,Мускатный орех
165,Корица
165,Шафран
165,Мед
165,Мясной бульон
165,Миндаль
165,Листья кинзы (кориандра)
165,Соль
165,Яйцо куриное
165,Перец черный молотый
165,Куриное филе
165,Соевый соус
165,Яблочный уксус
165,Сахар
165,Вода
165,Томатная паста
165,Сладкий перец
165,Консервированный ананас
165,Помидоры
165,Макароны
165,Чеснок
165,Черный перец горошком
165,Сыр
165,Майонез
165,Говядина
165,Соленые огурцы
165,Картофель
165,Куриная грудка
165,Лук
165,Овощной бульонный кубик
165,Смесь итальянских трав
165,Сливки
165,Оливковое масло
165,Сливочное масло
165,Молодой картофель
165,Оливковое масло extra virgin
165,Укроп
165,Красный соус табаско
165,Шампиньоны
165,Свиная вырезка
165,Сливки 25%-ные
165,Молотый белый перец
167,Куриное филе
167,Соевый соус
167,Яблочный уксус
167,Сахар
167,Вода
167,Томатная паста
167,Сладкий перец
167,Консервированный ананас
167,Помидоры
167,Рис
167,Зеленый перец
167,Яйцо куриное
167,Лук
167,Кетчуп
167,Растительное масло
167,Картофельный крахмал
167,Пшеничная мука
167,Мед
167,Корень имбиря
167,Яичный белок
167,Соль
167,Яичная лапша
167,Свинина
167,Имбирь
167,Чеснок
167,Кукурузный крахмал
167,Оливковое масло
167,Рисовый уксус
174,Лук репчатый
174,Куриное филе
174,Сметана
174,Соль
174,Растительное масло
174,Куриный бульонный кубик
174,Белые грибы
174,Печень
174,Пшеничная мука
174,Филе судака
174,Картофель
174,Гречневая крупа
174,Молоко
174,Соевый соус
174,Петрушка
174,Шампиньоны
174,Вода
174,Сушеная зелень
176,Лук репчатый
176,Чечевица
176,Лавровый лист
176,Чеснок
176,Оливковое масло
176,Белый хлеб
176,Помидоры
176,Паприка
176,Соль
176,Куриные ножки
176,Зеленый перец
176,Перец чили
176,Белое сухое вино
176,Ракушки-венерки (вонголе)
176,Длиннозерный рис
176,Креветки
176,Зеленый горошек
176,Артишоки
176,Пшеничная мука
176,Чоризо
176,Фасоль
176,Бекон
176,Картофель
176,Черный перец горошком
176,Орегано
176,Тыква
176,Цукини
176,Рубленая петрушка
177,Говядина
177,Картофель
177,Лук репчатый
177,Пшено
177,Квашеная капуста
177,Соль
177,Лавровый лист
177,Перец черный молотый
177,Шпик
177,Корень сельдерея
177,Помидоры
177,Сливочное масло
177,Кетчуп
177,Яблочный уксус
177,Яйцо куриное
177,Свежие грибы
177,Квас хлебный
177,Растительное масло
177,Тертый хрен
177,Свекла
177,Морковь
177,Кефир
177,Черный перец горошком
177,Черный душистый перец
177,Сметана
178,Бекон
178,Яйцо куриное
178,Помидоры черри
178,Свежие грибы
178,Содовый хлеб
178,Сливочное масло
178,Соль
178,Молоко
178,Сыр чеддер
178,Перец черный молотый
178,Коричневый сахар
178,Груши
178,Сыр горгонзола
178,Измельченные жареные орехи пекан
178,Зеленые яблоки
178,Молодой шпинат
178,Измельченный укроп
178,Сыр фета
178,Бездрожжевое слоеное тесто
178,Сушеный базилик
178,Сыр брынза
178,Пшеничная мука
185,Уксус
185,Белокочанная капуста
185,Сахар
185,Краснокочанная капуста
185,Корень сельдерея
185,Яблоко
185,Соль
185,Растительное масло
185,Соевый соус
185,Грецкие орехи
185,Кунжутные семечки
185,Морковь
185,Огурцы
185,Укроп
190,Мясо
190,Картофель
190,Белокочанная капуста
190,Свекла
190,Сметана
190,Томатное пюре
190,Лук репчатый
190,Сливочное масло
190,Квашеная капуста
190,Коренья
190,Пшеничная мука
190,Морковь
190,Петрушка
190,Помидоры
190,Уксус
190,Сахар
190,Соль
190,Корень сельдерея
190,Корень петрушки
190,Вода
190,Томатная паста
190,Мясо на кости
192,Картофель
192,Свекла
192,Соленые огурцы
192,Морковь
192,Яблоко
192,Зеленый лук
192,Квашеная капуста
192,Уксус
192,Растительное масло
192,Горчица
192,Сахар
192,Рыба
192,Лук репчатый
192,Яйцо куриное
192,Рубленая петрушка
